Numbers	Names	Types	No_Tones	Register	Harmonicity	Roughness	Sharpness
194	"C#-E-G#-B-D#"	"m9"	5	"high"	0.628237272923006	1.47985614418579	0.862139448744198
195	"D-F-A-C-E"	"m9"	5	"high"	0.658441662012305	1.17368409956866	0.847925059093079
196	"D#-F#-A#-C#-F"	"m9"	5	"high"	0.607800166310691	0.956439307623241	0.787706385549272
197	"E-G-B-D-F#"	"m9"	5	"high"	0.611068607906124	0.95668121758893	0.87260169311322
198	"F-G#-C-D#-G"	"m9"	5	"high"	0.574372862056857	0.99449330375075	0.850511288958928
199	"G-B-D-F#-A"	"maj9"	5	"high"	0.595175423826206	0.620429453238635	0.786990070982024
200	"G#-C-D#-G-A#"	"maj9"	5	"high"	0.540326020204756	0.716508271425484	0.864275433620489
201	"A-C#-E-G#-B"	"maj9"	5	"high"	0.564877231040006	1.19415292247425	0.870976860771438
202	"A#-D-F-A-C"	"maj9"	5	"high"	0.573784236116053	0.951533003582356	0.902566049149715
203	"B-D#-F#-A#-C#"	"maj9"	5	"high"	0.560893554719402	0.965895128186591	0.922190017165489
204	"C-E-G-B-D"	"maj9"	5	"high"	0.572850933938501	0.965859098336633	0.892826935760294
205	"C#-F-G#-C-D#"	"maj9"	5	"high"	0.572914832954238	0.698378385874381	0.9190987375597
206	"D-F#-A-C#-E"	"maj9"	5	"high"	0.562329649789451	0.651755199847993	0.859271199063606
207	"D#-G-A#-D-F"	"maj9"	5	"high"	0.577617515761408	0.531579215139902	0.903666381474931
208	"E-G#-B-D#-F#"	"maj9"	5	"high"	0.599500940338051	0.478866147766935	0.89123861879075
209	"F-A-C-E-G"	"maj9"	5	"high"	0.594317299433649	0.438923490100124	0.926307129756633
210	"G-B-D-F-A"	"dom9"	5	"high"	0.607175862049013	0.44456906465518	0.957408378644436
211	"G#-C-D#-F#-A#"	"dom9"	5	"high"	0.59204800374219	0.527290141766178	0.990442644651146
212	"A-C#-E-G-B"	"dom9"	5	"high"	0.579149525444318	0.499161642291234	1.00235418639766
213	"A#-D-F-G#-C"	"dom9"	5	"high"	0.701989932642687	1.06643233376699	0.8807449999381
214	"B-D#-F#-A-C#"	"dom9"	5	"high"	0.675203399327048	0.437904164404351	0.921441877258754
215	"C-E-G-A#-D"	"dom9"	5	"high"	0.546918196342743	0.766952242511301	0.905124509514534
216	"C#-F-G#-B-D#"	"dom9"	5	"high"	0.555148991214602	0.689382883234411	0.95523179162343
